benchmark,group,phase,value
SGEMM,Native HMM,HMM setup,254424802
SGEMM,UVM,UVM alloc,72940088
SGEMM,Native HMM,UVM alloc,154653193
SGEMM,Native HMM,HMM pages,13090289
SGEMM,UVM,UVM finalize/map,79388837
SGEMM,Native HMM,UVM finalize/map,119966578
SGEMM,Native HMM,HMM finalize,70609964

SPMV,Native HMM,HMM setup,9204049
SPMV,UVM,UVM alloc,2055959
SPMV,Native HMM,UVM alloc,4776182
SPMV,Native HMM,HMM pages,405058
SPMV,UVM,UVM finalize/map,1808563
SPMV,Native HMM,UVM finalize/map,3118928
SPMV,Native HMM,HMM finalize,2376617

Stream,Native HMM,HMM setup,12421848
Stream,UVM,UVM alloc,6144234
Stream,Native HMM,UVM alloc,10646038
Stream,Native HMM,HMM pages,885675
Stream,UVM,UVM finalize/map,5121943
Stream,Native HMM,UVM finalize/map,6970478
Stream,Native HMM,HMM finalize,4068849
